"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3IZPORCT1F3ZX9EUPHZOEN2836XRH9","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","3A9AA95ATXG5RNCE1PZR9FUQ4BR5P1","A214JTAHTAWUKA","Submitted","Mon Jun 26 10:47:08 PDT 2017","Mon Jun 26 10:48:57 PDT 2017","Thu Jun 29 10:48:57 PDT 2017","","","","109","100% (228/228)","100% (188/188)","100% (132/132)","0","Do you like thriller movies that sort of mess with your head?","I loved the ending, when it all ended well.","Psychological thrillers?","Yes, like Momento.","I love those kind, the ones that make you question your own mind.","I like the ones that make me wonder the star is crazy, or it is all real.","Like Rear Window?","The old Cary Grant movie, yes.","I was so convinced he was crazy for half the movie.","I think that was the point.","x",""
"3IZPORCT1F3ZX9EUPHZOEN2836XRH9","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","3DBQWDE4Y7S5O201LAMZ5QPV4WMN5J","A11QDNT3W7DT7K","Submitted","Mon Jun 26 10:03:10 PDT 2017","Mon Jun 26 10:09:35 PDT 2017","Thu Jun 29 10:09:35 PDT 2017","","","","385","100% (224/224)","100% (176/176)","100% (130/130)","0","I have mixed feelings about The Usual Suspects.","Probably when I saw it coming about 10 minutes ahead of time. That or the lineup where they're all just kidding around.","Why?","It's a fun movie at all, very engaging.","Yeah, Kevin Spacey is great and it's one of his first.","It's just kind of underwhelming.","WHy?","There's a ton of build-up, and he walks away and it makes sense, but I just didn't care.","Hmm, I liked it. It worked for me.","Favorite moment?","x",""
"3IZPORCT1F3ZX9EUPHZOEN2836XRH9","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","3DL65MZB8E9MTHW37L6OT91WILTECF","AHZIJXFRI8CUC","Submitted","Mon Jun 26 06:41:55 PDT 2017","Mon Jun 26 06:53:47 PDT 2017","Thu Jun 29 06:53:47 PDT 2017","","","","712","100% (38/38)","100% (37/37)","100% (25/25)","0","Have you seen any good thriller movies lately?","Tootles to you. Until we meet again.","Are you talking about new or old?","It doesn't matter I just want to find a decent thriller to watch.","Silence of the  Lambs was good. Did you ever see Hannibal?","No I missed that one and I really like Anthony Hopkins.","It was pretty good as well","Maybe I will give it a try. I know Jodie Foster isn't in this one.","Yes but Julianne Moore is really good as FBI agent Starling.","Well I gotta scoot. My cat is in the window being harassed by some noisy little birds.","x",""
"3IZPORCT1F3ZX9EUPHZOEN2836XRH9","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","3FE7TXL1LJHYS2U6JJCIBDHOPXMQ2C","A1VIEFZYI54JHP","Submitted","Mon Jun 26 11:01:57 PDT 2017","Mon Jun 26 11:03:22 PDT 2017","Thu Jun 29 11:03:22 PDT 2017","","","","85","100% (7/7)","100% (5/5)","100% (5/5)","0","Who is your favorite horror movie heroine","All strong women in caves!","Ripley of course","Yes. Aliens is the best.","It feels ageless.","I don't know if I can think of another feminist horror film like that.","It follows had some pretty strong women.","I like that horror films usually do","What about the Descent.","Oh, I love that one","x",""
"3IZPORCT1F3ZX9EUPHZOEN2836XRH9","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","3LPW2N6LKUWIJSKAIBYLJLHPCR15UD","A3UMJK169791WJ","Submitted","Sun Jun 25 09:02:09 PDT 2017","Sun Jun 25 09:07:28 PDT 2017","Wed Jun 28 09:07:28 PDT 2017","","","","319","100% (4/4)","100% (4/4)","100% (4/4)","0","Have you seen Scream?","Yeah - that part was definitely cool.","Maybe?  That thriller movie from the 90s?","Yes!  With the guy in the ghost mask.","I think I have but its been a long time.  Who is in it?","Drew Berrymore, Neve Campbell, Courtney Cox, Rose McGowan.","Oh yeah.  And David Arquette, right?","Yes!  I love that movie.","I thought it was okay.","It is one of my favorites!  It was so hard to figure out who the killers were.","x",""
"3IZPORCT1F3ZX9EUPHZOEN2836XRH9","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","3QIYRE09Y4B60KZIKNKN20CESF3N1L","ABCNBEDISMEXV","Submitted","Sun Jun 25 09:10:12 PDT 2017","Sun Jun 25 11:06:56 PDT 2017","Wed Jun 28 11:06:56 PDT 2017","","","","7004","100% (7/7)","100% (7/7)","100% (7/7)","0","I wanted to watch something good and scary, but not gore focused.","Yeah, I know. That finale would be breathtaking in a theater.","You could watch something based on Stephen King's work.","Oh! Good idea! Which one?","You could watch Carrie. It is more of a thriller than a true horror.","That sounds like a good one. Who made that one?","Brian De Palma directed Carrie.","Great. I love his work that I've seen before.","Carrie also has some spectacular editing. You're in for a treat with the ending of that film!","I really appreciate the recommendation. I'd love to see that one on the big screen.","x",""
"3IZPORCT1F3ZX9EUPHZOEN2836XRH9","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","3TU5ZICBREV9EHWVZ0LJL4URBXTQ8U","A1PBRKFHSF1OF8","Submitted","Mon Jun 26 05:14:53 PDT 2017","Mon Jun 26 05:18:08 PDT 2017","Thu Jun 29 05:18:08 PDT 2017","","","","195","100% (12/12)","100% (8/8)","100% (4/4)","0","Hey!  How have you been?","What is your favorite way to watch thrillers?","Great!  It's been a while.","Yes, it has.  What have you been up to?","Actually, I have been watching movies lately.","Really?  What kinds of movies have you been watching?","Recently, I have been watching thrillers.","Sounds interesting.  Any reason?","They seem to always keep me on the edge of my seat.","Me too!  I am always trying to guess what will happen next.","x",""
"3IZPORCT1F3ZX9EUPHZOEN2836XRH9","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","3YGXWBAF71B41FZAIFUBKNP55W34C3","A1HWI4N1RJGKYY","Submitted","Mon Jun 26 07:29:01 PDT 2017","Mon Jun 26 07:31:25 PDT 2017","Thu Jun 29 07:31:25 PDT 2017","","","","144","100% (308/308)","100% (205/205)","100% (173/173)","0","Hi.","I think so.","Hello.","Would you call yourself a fan of thriller movies?","Yeah sure I like them okay.","Cool me too.","Do you have a favorite?","Hmm let me think.","Sure.","I really like Die Hard.  Would you call that a thriller?","x",""
"3IZPORCT1F3ZX9EUPHZOEN2836XRH9","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","3ZPBJO59KQV8IJTJXI95YIGRV1PHDQ","A1YV31LYI26TT5","Submitted","Mon Jun 26 01:01:18 PDT 2017","Mon Jun 26 01:08:22 PDT 2017","Thu Jun 29 01:08:22 PDT 2017","","","","424","100% (74/74)","100% (60/60)","100% (51/51)","0","I want to find a good movie to watch!","I will bring it on over and we will watch it!","I have a lot of movies, what are you in the mood for?","Something suspenseful! I love a good thriller.","Have you ever seen Eye For An Eye?","Not sure, who is in it?","Sally Field plays a woman looking for revenge after her daughter is murdered.","That sounds really good actually.","It is, Sally Field is very talented.","Yea I love all of her movies basically.","x",""
"3T8DUCXY0N0JYI93VUGR1L528EMT9Y","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Sun Jun 25 03:40:23 PDT 2017","9","BatchId:2847868;OriginalHitTemplateId:920937340;","7200","259200","Sun Jul 02 03:40:23 PDT 2017","","","31LM9EDVOMMDV1FMACQT6080MXQJNA","A2Z6NL0CTXY0ZB","Submitted","Sun Jun 25 18:29:59 PDT 2017","Sun Jun 25 18:49:12 PDT 2017","Wed Jun 28 18:49:12 PDT 2017","","","","1153","97% (36/37)","100% (21/21)","100% (16/16)","0","Have you ever heard of a thriller staring Andy Griffith?","The movie was made around 1995. You should check it out.","I think so.","What was the name of it?","Grampa? No, it was Gramps.  John Ritter was in it too,","And Griffith was playing a sociopath?","Yeah. It was a pretty decent movie as I recall.","Oh wow. My dad told me about it, but I couldn't believe him.","Why not?","I never would have expected Andy Griffith playing a crazy old man","x",""
