"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3IWA71V4TIA3XGGP2XEC6EZ6V4P6XW","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","34T446B1C18N2RH9ZE798KZSOFX0CJ","A2ECRNQ3X5LEXD","Submitted","Fri Jun 23 05:41:48 PDT 2017","Fri Jun 23 05:44:15 PDT 2017","Mon Jun 26 05:44:15 PDT 2017","","","","147","100% (206/206)","100% (173/173)","100% (139/139)","0","Do you like Thriller movies?","He is good too.","Yes I love James Bond.","Me too. Which one is your favorite?","Dr. No.","So Sean Connery is your favorite Bond?","Yes for sure.","Interesting.","Which is yours?","Daniel Craig.","x",""
"3IWA71V4TIA3XGGP2XEC6EZ6V4P6XW","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","34X6J5FLPUSYYYSEQ4IAAU35QT8JQX","A34QZDSTKZ3JO9","Approved","Tue Jun 20 18:44:54 PDT 2017","Tue Jun 20 18:46:56 PDT 2017","Fri Jun 23 18:46:56 PDT 2017","Thu Jun 22 00:21:42 PDT 2017","","","122","100% (183/183)","100% (172/172)","100% (140/140)","0","Were you a fan of the Jaws movies?","I don't know.  I'd probably see it though.","Now I am!","Did you used to not be?","Well, once when I was young, my friend and I watched it and I cried.","Yeah, it could be scary for a kid.","I was terrified!","Did it make you scared to go into the water?","I never really liked going into the water, but that didn't help.","Do you think they should remake it?","x",""
"3IWA71V4TIA3XGGP2XEC6EZ6V4P6XW","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3A1COHJ8NKPW1OXSGAYPCQ2QJU7H82","ATADQXPHL10Y8","Approved","Tue Jun 20 09:48:52 PDT 2017","Tue Jun 20 10:09:51 PDT 2017","Fri Jun 23 10:09:51 PDT 2017","Thu Jun 22 00:21:43 PDT 2017","","","1259","100% (430/430)","100% (260/260)","100% (212/212)","0","Get Out was such a good thriller.","I loved how the scenes played out where you didnt know what was going on","i thought that Jordan Peele did a great job","I was surprised because of his experience in comedy","The lighting of the movie was superb","Yeah it helped with character development","The eeriness of some of the characters was odd","Yeah it helped make the movie strange","do you think they could do another one?","possibly but it would be odd","x",""
"3IWA71V4TIA3XGGP2XEC6EZ6V4P6XW","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3BV8HQ2ZZXVUNN6QHPRZBQJV07I6AR","AEWPAZBYA7XE","Approved","Wed Jun 21 12:56:48 PDT 2017","Wed Jun 21 12:59:11 PDT 2017","Sat Jun 24 12:59:11 PDT 2017","Thu Jun 22 00:21:42 PDT 2017","","","143","100% (254/254)","100% (201/201)","100% (167/167)","0","Did you ever watch the Birds?","Yeah, with Hopkins playing the ""Master"". To good!","When I was a kid. Scared the crap outta me.","That movie isn't scary at all!","It's horror isn't it?","I'd classify it more as a thriller.","Hitchcock was a genious.","There'll be no replacing him.","""Master of Suspense""","Did you see the movie.","x",""
"3IWA71V4TIA3XGGP2XEC6EZ6V4P6XW","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3F6HPJW4JEU3CZQSVSBO32ZACI52WX","A2XNO2KWLLGW6Z","Approved","Tue Jun 20 00:10:14 PDT 2017","Tue Jun 20 01:47:06 PDT 2017","Fri Jun 23 01:47:06 PDT 2017","Thu Jun 22 00:21:43 PDT 2017","","","5812","100% (28/28)","100% (22/22)","100% (22/22)","0","I just recently saw the movie Se7en and I am very conflicted.","Brad Pitt faces a choice between a vengeance that is literally nothing but wrath, or a moral high ground that still feels like failure. The way Pitt performed that scene I believed that though he understood this choice, he could only kill Kevin Spacey and not himself.","What are you conflicted about? Are you upset that there wasn't a plot twist at the end?","Well I guess, yeah I am. I was getting really into the lives of the two detectives, especially Brad Pitt's character. At the end of the film, I was hoping that there would be a plot twist, and that the wife wasn't actually killed, but I knew that wouldn't be the case.","It's a fantastic ending. Idealism is corrupted and proved almost as irrational as psychosis.","Can you eleborate on that? Help me understand because I'm not entirely sure why things happened the way they did in the movie.","It's actually pretty simple, Brad Pitt proves Kevin Spacey right, but Morgan Freeman rededicates himself to justice, so maybe he was wrong too. I suppose the point is that anyone can succumb to dark impulses, not just someone who is insane.","Ok what is seemed like Kevin Spacey's character was almost punishing Brad Pitt for a Sin that he was going to commit in the future, which I think sort of plays against his ""holy"" reasoning for the murders he committed.","You're thinking way too much into the script. Keep it simple, The only reason this is sticking out in your mind is because there isn't a solution.","Why didn't Brad Pitt just kill himself at the end?","x",""
"3IWA71V4TIA3XGGP2XEC6EZ6V4P6XW","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3H0W84IWBLWQZJLMPIWJI40IIFTER4","A2GIYD0TEI3V62","Approved","Thu Jun 22 07:05:53 PDT 2017","Thu Jun 22 07:37:25 PDT 2017","Sun Jun 25 07:37:25 PDT 2017","Fri Jun 23 01:45:35 PDT 2017","","","1892","100% (44/44)","100% (44/44)","100% (44/44)","0","Are there any scary movies you are excited to see?","I've seen the trailer, and it was already getting me freaked out!","I'm waiting for that reboot of IT","Oh, the scary clown movie? Are they making a new one","Yeah, and apparently it is more closer to the original thriller novel than the movie was","Wow, I wonder if it will be as scary as the original","Honestly, I dont find the original to be very scary. It was way too cheesy","Are you kidding me? Tim Curry's make up had me scared to sleep for weeks!","Honestly, it was all too outdated for my taste","I wonder how good the new one will be","x",""
"3IWA71V4TIA3XGGP2XEC6EZ6V4P6XW","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3OB0CAO74IJBGUOATEWJB3QSDKEYHO","AS2WTWYVRW9BV","Approved","Fri Jun 23 03:47:59 PDT 2017","Fri Jun 23 04:14:50 PDT 2017","Mon Jun 26 04:14:50 PDT 2017","2017-06-26 11:15:08 UTC","","","1611","100% (26/26)","100% (26/26)","100% (26/26)","0","Seen any good movies lately?","Yes him and another person that she screwed over.","Actually now that you say it yes I just watched Gone Girl","The one with Ben Affleck?","Yes, that movie was insane","Why?  What was it about?","Well the movie starts with Ben basically looking for his missing wife and it looks like she was murdered","does he end up finding her?","Yeah it takes awhile but he does find out she was faking the whole incidnet","Does he get revenge?","x",""
"3IWA71V4TIA3XGGP2XEC6EZ6V4P6XW","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3RXPCZQMQQ50QSIWXJ7SCG3HQRNG1N","APF1EAZT104LQ","Approved","Wed Jun 21 13:51:10 PDT 2017","Wed Jun 21 14:01:31 PDT 2017","Sat Jun 24 14:01:31 PDT 2017","Thu Jun 22 00:21:43 PDT 2017","","","621","100% (194/194)","100% (187/187)","100% (179/179)","0","What is a great thriller movie?","When the plane tries to kill Grant's character","North by Northwest","Is that an old film?","Yes, quite old.","Who is in it?","Carey Grant","Oh, I love his films. Who directed it?","Alfred Hitchcock","He is a great director. What is the most thrilling scene?","x",""
"3IWA71V4TIA3XGGP2XEC6EZ6V4P6XW","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","3VSOLARPKC3HLL936HF18SWRKVO93T","A3GM1Y0H93CZT1","Approved","Tue Jun 20 05:08:16 PDT 2017","Tue Jun 20 06:48:10 PDT 2017","Fri Jun 23 06:48:10 PDT 2017","Thu Jun 22 00:21:43 PDT 2017","","","5994","100% (80/80)","100% (68/68)","100% (67/67)","0","Have you seen Seven?","Let's hope they got paid well for it!","Is that the thriller with Brad Pitt and Morgan Freeman?","Yes, what did you think of it?","I really liked it a lot. I was so dark and creepy.","It was especially John Doe's books.","Did you know all of John Doe's books were real books? They were written for the film.","Wow. I had no idea.","To me, that makes the movie even creepier.","Yeah, that fact that someone had to sit and write all of that out is crazy.","x",""
"3PKJ68EHDNQIZLVHHCQFCWGHTKQHJK","3L55M9M850MNBHCET5Z8RRS4HFU9O7","Create a dialog on thriller movies for ten sentences","Create a dialog on thriller movies for ten sentences","dialog, chat, movies, film, entertainment, arts, conversation, writing, thriller, suspenseful, creative","$0.40","Mon Jun 19 10:40:43 PDT 2017","9","BatchId:2840976;OriginalHitTemplateId:920937340;","7200","259200","Mon Jun 26 10:40:43 PDT 2017","","","354GIDR5ZC038ZMTNYEPDJXREHD00K","A1WBGYZ6Y8NJ9","Approved","Tue Jun 20 23:30:55 PDT 2017","Tue Jun 20 23:51:52 PDT 2017","Fri Jun 23 23:51:52 PDT 2017","Thu Jun 22 00:21:43 PDT 2017","","","1257","100% (387/387)","100% (344/344)","100% (303/303)","0","I love thrilling movies","That would be cools","Are they not pretty cool","Yeah","They keep you on your toes","Precisely what  i want","Exactly","You know because it is exciting","Yep pretty much","I would love to make one myself","x",""
